Lexeme          CurrentNode          LineNo     TokenName            ValueIfNumber        ParentNode           Leaf       NodeSymbol          
---------------------------------------------------------------------------------------------------------------
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             option_single_constructed yes        UNKNOWN_TOKEN       
----            termPrime            -1         termPrime                                 term                 no         termPrime           
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             termPrime            yes        UNKNOWN_TOKEN       
----            expPrime             -1         expPrime                                  arithmeticExpression no         expPrime            
----            lowPrecedenceOperators -1         lowPrecedenceOperators                      expPrime             no         lowPrecedenceOperators
+               TK_PLUS              11         TK_PLUS                                   lowPrecedenceOperators yes        TK_PLUS             
----            term                 -1         term                                      expPrime             no         term                
----            factor               -1         factor                                    term                 no         factor              
----            var                  -1         var                                       factor               no         var                 
2               TK_NUM               11         TK_NUM               2                    var                  yes        TK_NUM              
----            termPrime            -1         termPrime                                 term                 no         termPrime           
----            highPrecedenceOperators -1         highPrecedenceOperators                      termPrime            no         highPrecedenceOperators
*               TK_MUL               11         TK_MUL                                    highPrecedenceOperators yes        TK_MUL              
----            factor               -1         factor                                    termPrime            no         factor              
----            var                  -1         var                                       factor               no         var                 
----            singleOrRecId        -1         singleOrRecId                             var                  no         singleOrRecId       
c4              TK_ID                11         TK_ID                                     singleOrRecId        yes        TK_ID               
----            option_single_constructed -1         option_single_constructed                      singleOrRecId        no         option_single_constructed
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             option_single_constructed yes        UNKNOWN_TOKEN       
----            termPrime            -1         termPrime                                 termPrime            no         termPrime           
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             termPrime            yes        UNKNOWN_TOKEN       
----            expPrime             -1         expPrime                                  expPrime             no         expPrime            
----            lowPrecedenceOperators -1         lowPrecedenceOperators                      expPrime             no         lowPrecedenceOperators
-               TK_MINUS             11         TK_MINUS                                  lowPrecedenceOperators yes        TK_MINUS            
----            term                 -1         term                                      expPrime             no         term                
----            factor               -1         factor                                    term                 no         factor              
(               TK_OP                11         TK_OP                                     factor               yes        TK_OP               
----            arithmeticExpression -1         arithmeticExpression                      factor               no         arithmeticExpression
----            term                 -1         term                                      arithmeticExpression no         term                
----            factor               -1         factor                                    term                 no         factor              
----            var                  -1         var                                       factor               no         var                 
----            singleOrRecId        -1         singleOrRecId                             var                  no         singleOrRecId       
c5              TK_ID                11         TK_ID                                     singleOrRecId        yes        TK_ID               
----            option_single_constructed -1         option_single_constructed                      singleOrRecId        no         option_single_constructed
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             option_single_constructed yes        UNKNOWN_TOKEN       
----            termPrime            -1         termPrime                                 term                 no         termPrime           
eps             UNKNOWN_TOKEN        0          UNKNOWN_TOKEN                             termPrime            yes        UNKNOWN_TOKEN       
----            expPrime             -1         expPrime                                  arithmeticExpression no         expPrime            
